year,global_avg_temp,columbus_avg_temp,Global 7 yr MA,Columbus 7 yr MA
1983,9.03,14.04,8.87,13.97285714
1984,8.69,14.31,8.847142857,13.99
1985,8.66,14.39,8.842857143,14.10428571
1986,8.83,15.13,8.857142857,14.31714286
1987,8.99,14.85,8.858571429,14.43142857
1988,9.2,13.99,8.862857143,14.45857143
1989,8.92,13.89,8.902857143,14.37142857
1990,9.23,15.54,8.931428571,14.58571429
1991,9.18,15.31,9.001428571,14.72857143
1992,8.84,14.02,9.027142857,14.67571429
1993,8.87,14.21,9.032857143,14.54428571
1994,9.04,14.39,9.04,14.47857143
1995,9.35,14.39,9.061428571,14.53571429
1996,9.04,13.92,9.078571429,14.54
1997,9.2,14.15,9.074285714,14.34142857
1998,9.52,15.92,9.122857143,14.42857143
1999,9.29,15.28,9.187142857,14.60857143
2000,9.2,14.61,9.234285714,14.66571429
2001,9.41,14.98,9.287142857,14.75
2002,9.57,15.2,9.318571429,14.86571429
2003,9.53,14.4,9.388571429,14.93428571
2004,9.32,14.88,9.405714286,15.03857143
2005,9.7,14.87,9.431428571,14.88857143
2006,9.53,15.31,9.465714286,14.89285714
2007,9.73,15.35,9.541428571,14.99857143
2008,9.43,14.46,9.544285714,14.92428571
2009,9.51,14.46,9.535714286,14.81857143
2010,9.7,14.64,9.56,14.85285714
2011,9.52,15.24,9.588571429,14.90428571
2012,9.51,15.91,9.561428571,15.05285714
2013,9.61,16.05,9.572857143,15.15857143
